year;australia;cotedivorine;france;germany;iceland;iran;spain
1960;0;0;0;0;0;0;0
1961;0,01345293;0,118851617;0,048593333;0,047619106;-0,000848247;0,078502405;0,113876845
1962;0,059071716;-0,000941419;0,062350172;0,045454487;0,07675366;0,062287671;0,096678736
1963;0,063241103;0,121872149;0,060810773;0,026548595;0,093245789;0,057630752;0,091234727
1964;0,05947955;0,159170871;0,061310853;0,058333408;0,090213647;0,072277201;0,051150665
1965;0,021818137;-0,026537419;0,046370899;0,055118177;0,067944505;0,121739153;0,066973243
1966;0,058219181;0,102907379;0,04980847;0,023076854;0,08034506;0,101562485;0,072327439
1967;0,04885993;0,038055473;0,047445217;0;-0,01284025;0,098591523;0,038948127
1968;0,066869321;0,129822991;0,041958066;0,051094953;-0,057912479;0,112500007;0,058794427
1969;0,06798864;0,06964023;0,066884172;0,068027207;0,023187969;0,11602214;0,086618784
1970;0,038147184;0,0878912;0,058371714;0,045454519;0,069411933;-0,645454594;0,037482723
1971;0,0376359;0,086404182;0,05048312;0,03037547;0,11552042;0,120504797;0,044429013
1972;0,025314185;0,04062535;0,043166397;0,041230362;0,058179392;0,126630037;0,075356114
1973;0,039386524;0,056060279;0,059660535;0,045596475;0,063723123;0,069262487;0,072256981
1974;0,013159719;0,041482896;0,041235693;0,008822166;0,053982505;0,054829803;0,053198681
1975;0,025218874;0,076235494;-0,009691844;-0,00874321;0,006420077;-0,003272815;0,005392842
1976;0,034823445;0,107101358;0,041748729;0,047158647;0,056241963;0,154408665;0,031981338
1977;0,008895868;0,044889784;0,033483101;0,032388059;0,081070501;-0,028526989;0,027602194
1978;0,038958867;0,090081154;0,03826316;0,029206248;0,056752585;-0,147326547;0,014419078
1979;0,029608023;0,018645149;0,034282812;0,039849731;0,04635277;-0,136631827;0,000415259
1980;0,032478505;-0,123045987;0,015542078;0,013892542;0,054354909;-0,275504475;0,021610015
1981;0,032167085;0,033816276;0,010577165;0,005264585;0,040905488;-0,060409232;-0,001326446
1982;-0,022846744;0,00200484;0,024441601;-0,003964107;0,021091234;0,18812216;0,012311183
1983;0,044256745;-0,04057965;0,012256523;0,015480714;-0,021984542;0,099802397;0,017393254
1984;0,049876298;-0,027759574;0,014911565;0,027454438;0,039653845;-0,076888189;0,017533964
1985;0,037838237;0,043067853;0,015968608;0,022749782;0,031878699;0,018334029;0,02268763
1986;0,023935831;0,031557611;0,022838956;0,0223619;0,059005425;-0,108461945;0,031508174
1987;0,052805315;-0,00347992;0,024979079;0,013827579;0,078731124;-0,001724056;0,052555923
1988;0,038111961;0,010951216;0,04528356;0,035747126;-0,000898097;-0,064758538;0,048473839
1989;0,039841853;0,106263935;0,041630289;0,037504137;0,0025777;0,057778138;0,046047557
1990;-0,001225938;-0,012457563;0,028408686;0,049926457;0,011558556;0,119679022;0,036436148
1991;0,003166262;0,000565932;0,010373001;0,048600048;-0,002240247;0,112815627;0,024827887
1992;0,03971267;-0,006264145;0,015741696;0,018874892;-0,034917017;0,031926934;0,009206593
1993;0,038812042;-0,004002297;-0,006326484;-0,009653941;0,012964232;-0,014929786;-0,010422445
1994;0,035983618;0,020990711;0,023040067;0,023984342;0,034831575;-0,017276224;0,023277197
1995;0,037952268;0,065882325;0,020632301;0,017079647;0,001164479;0,023447426;0,02683498
1996;0,038150994;0,063188897;0,013933105;0,008112561;0,04566547;0,075370488;0,026051037
1997;0,043764437;0,053761993;0,0228296;0,018156275;0,068067792;0,019985071;0,03558318
1998;0,047782874;0,048786259;0,034643355;0,019411956;0,066254483;0,01888348;0,04128225
1999;0,037936016;0,019062189;0,033081871;0,0194841;0,038859344;0,030727692;0,042922719
2000;0,018964383;-0,021120704;0,037755274;0,028768383;0,046634765;0,039263858;0,05023416
2001;0,03848955;0,001212315;0,019451351;0,016672057;0,037525075;0,019699321;0,038471419
2002;0,028991797;-0,01695957;0,011227796;0;0,006765634;0,074047325;0,027992641
2003;0,03847173;-0,013782362;0,008164401;-0,007149828;0,022178362;0,07753882;0,030890982
2004;0,030916808;0,012167387;0,027518825;0,011564376;0,074435773;0,032483619;0,030695404
2005;0,027561239;0,016921371;0,016360139;0,007017551;0,059531615;0,030912167;0,035893772
2006;0,036398358;0,014932082;0,023907656;0,035681358;0,049870612;0,047617104;0,040068679
2007;0,035286984;0,017344242;0,023673313;0,031575751;0,085633413;0,075407736;0,036320994
2008;0,018864545;0,024882439;0,002543034;0,010707285;0,01953075;0,002502215;0,011053324
2009;0,020116468;0,031490663;-0,029583202;-0,059533678;-0,072699129;0,0099734;-0,037062055
2010;0,023924578;0,019777336;0,019121602;0,039200008;-0,035581272;0,054801984;0,000140697
2011;0,037461477;-0,04382627;0,021456517;0,035307689;0,018468559;0,025775237;-0,010088454
2012;0,025716079;0,091749159;0,003121638;0,004895842;0,012798588;-0,080433441;-0,030160498
2013;0,024945101;0,084964519;0,00573023;0,004871989;0,039697458;-0,001944533;-0,017353026
2014;0,022971329;0,080623271;0,009471198;0,021316414;0,02037888;0,044008319;0,013612057
2015;0,027495747;0,081244267;0,011006639;0,017092445;0,042767839;-0,013383246;0,035165166
2016;0,019199891;0,073831772;0,011574978;0,021930627;0,068480449;0,118136618;0,03075033
2017;0,028633066;0,071512923;0,02115486;0,021115594;0,038361128;0,036192806;0,028929945
